PX,Main,"Midblock Route","Side 1 Route","Side 2 Route","Activation Date",Latitude,Longitude,"Count Date",8HrVehVol,8HrPedVol
263,"FRONT ST W",,"SIMCOE ST","LOWER SIMCOE ST",13-May-1960,43.6447547,-79.384981,2015/06/16,11290,31351
265,"DUNDAS ST W",,"MC CAUL ST",,12-Feb-1952,43.654313,-79.391437,2015/04/13,10100,11071
268,"RICHMOND ST W",,"PETER ST",,14-Dec-1965,43.6484258,-79.393259,2015/08/18,9004,7477
270,"ADELAIDE ST W",,"PETER ST",,11-Dec-1963,43.6473011,-79.392799,2015/08/18,10387,9463
273,"SPADINA AVE",,"KING ST W",,14-Jun-1928,43.6454505,-79.395002,2015/01/22,18148,19438
277,"SPADINA AVE",,"DUNDAS ST W",,09-Sep-1929,43.6529371,-79.398015,2015/04/11,11107,26960
283,"DUNDAS ST E",,"COXWELL AVE",,28-Aug-1953,43.6686596,-79.3175222,2015/04/13,11544,1007
284,"DUNDAS ST E",,"WOODFIELD RD",,30-May-1955,43.6678271,-79.322316,2015/04/02,8142,834
285,"DUNDAS ST E",,"GREENWOOD AVE",,22-Jun-1954,43.6675767,-79.326601,2015/04/13,11219,1168
287,"DUNDAS ST E",,"JONES AVE",,23-Aug-1954,43.6661633,-79.334282,2015/04/02,12020,1377
288,"DUNDAS ST E",,"PAPE AVE",,30-May-1955,43.665391,-79.339234,2015/04/02,10320,1072
289,"DUNDAS ST E",,"CARLAW AVE",,17-Jan-1955,43.6648245,-79.341597,2015/04/13,13161,1241
290,"DUNDAS ST E",,"LOGAN AVE",,26-Oct-1955,43.663931,-79.343869,2015/04/07,9975,821
291,"DUNDAS ST E",,"BOULTON AVE",,26-Aug-1958,43.6631849,-79.348202,2015/04/02,9276,1155
292,"BROADVIEW AVE",,"DUNDAS ST E",,14-Oct-1948,43.6624456,-79.351357,2015/04/13,11422,2259
293,"DUNDAS ST E",,"RIVER ST",,13-Mar-1953,43.6611902,-79.358131,2015/04/13,14073,1407
294,"DANFORTH AVE",,"BROADVIEW AVE",,16-Jul-1928,43.6761964,-79.358828,2015/04/25,20973,10278
