stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
413,4886,CHURCH ST AT UPHILL AVE,,43.708656,-79.508372,,,,,1
416,9534,CORDOVA AVE AT DUNDAS ST WEST,,43.648718,-79.528413,,,,,2
417,11619,BELLAMY RD NORTH AT PROGRESS AVE,,43.78037,-79.244052,,,,,1
418,4908,COXWELL AVE AT MORTIMER AVE (TORONTO EAST GENERAL),,43.690758,-79.32671,,,,,1
419,4911,COXWELL AVE AT PLAINS RD,,43.69607,-79.328892,,,,,1
425,1842,3450 DANFORTH AVE,,43.694176,-79.27503,,,,,1
426,9955,DANFORTH AVE AT MAIN ST,,43.688258,-79.301669,,,,,1
427,4003,KEELE ST AT KEELEGATE DR,,43.732927,-79.483414,,,,,1
428,11689,KEELE ST AT ST CLAIR AVE WEST,,43.672415,-79.467449,,,,,1
429,7899,KEELE ST AT ST CLAIR AVE WEST,,43.672094,-79.467304,,,,,1
430,10755,KEELE ST AT TORO RD,,43.75995,-79.490202,,,,,1
431,9154,KEELE ST AT WILSON AVE NORTH SIDE,,43.727167,-79.481974,,,,,1
432,14141,WILSON AVE AT KEELE ST NORTH SIDE,,43.727289,-79.481997,,,,,1
433,2752,KENNEDY RD AT EGLINTON AVE EAST,,43.731911,-79.267672,,,,,1
434,4113,KENNEDY RD AT PROGRESS AVE,,43.769242,-79.28205,,,,,1
435,13624,KING ST WEST AT SHAW ST EAST SIDE,,43.64146,-79.414544,,,,,1
436,4185,KING ST WEST AT SPADINA AVE,,43.645581,-79.394664,,,,,2
437,4187,KING ST WEST AT STRACHAN AVE,,43.641987,-79.412127,,,,,2
440,4285,KIPLING AVE AT BELFIELD RD,,43.704725,-79.563159,,,,,1
441,4291,KIPLING AVE AT BLOOR ST WEST NORTH SIDE,,43.642407,-79.535465,,,,,1
443,5139,LAIRD DR AT EGLINTON AVE EAST,,43.713121,-79.364456,,,,,1
444,5213,LANSDOWNE AVE AT DAVENPORT RD SOUTH SIDE,,43.671144,-79.44826,,,,,2
446,11578,LANSDOWNE AVE AT ST CLAIR AVE WEST,,43.67611,-79.450443,,,,,1
447,13068,LAWRENCE AVE EAST AT EAST AVE (ROUGE HILL GO STATION),,43.78082,-79.131356,,,,,1
448,5299,LAWRENCE AVE EAST AT ORTON PARK RD,,43.763901,-79.205771,,,,,1
449,5357,LAWRENCE AVE WEST AT CULFORD RD,,43.706493,-79.487528,,,,,1
451,6046,LAWRENCE AVE WEST AT SCARLETT RD EAST SIDE,,43.698385,-79.522315,,,,,2
452,5410,LAWRENCE AVE WEST AT VARNA DR WEST SIDE,,43.717543,-79.437932,,,,,1
453,5415,LAWRENCE AVE WEST AT WESTON RD,,43.700259,-79.516043,,,,,1
456,11145,LESLIE ST AT EASTERN AVE,,43.661691,-79.329616,,,,,1
457,5451,LESLIE ST AT KIRKWOOD RD NORTH SIDE,,43.757118,-79.36077,,,,,1
458,5455,LESLIE ST AT LAWRENCE AVE EAST,,43.734248,-79.355688,,,,,1
459,11377,LESLIE ST AT QUEEN ST EAST SOUTH SIDE,,43.662793,-79.330083,,,,,1
461,1242,LONSDALE RD AT AVENUE RD EAST SIDE,,43.690838,-79.402295,,,,,1
463,12584,EXHIBITION LOOP,,43.636249,-79.415589,,,,,2
465,6528,TORONTO ZOO,,43.819818,-79.179971,,,,,1
466,6527,TORONTO ZOO,,43.819552,-79.179841,,,,,1
467,6526,TORONTO ZOO,,43.819294,-79.179678,,,,,1
468,5519,ROUGE HILL GO STATION LOOP,,43.780682,-79.130384,,,,,1
469,10939,ROUGE HILL GO STATION LOOP AT LAWRENCE AVE EAST,,43.780923,-79.129896,,,,,2
470,6530,ROUGE HILL GO STATION LOOP AT LAWRENCE AVE EAST,,43.780753,-79.130109,,,,,1
471,6532,HUMBER LOOP AT THE QUEENSWAY,,43.631133,-79.478861,,,,,1
472,6523,HUMBER LOOP AT THE QUEENSWAY,,43.630948,-79.478791,,,,,2
473,13692,HUMBER LOOP AT THE QUEENSWAY,,43.631075,-79.478711,,,,,2
474,11791,HUMBER LOOP AT THE QUEENSWAY,,43.631192,-79.478612,,,,,2
475,7948,LANSDOWNE LOOP AT ST CLAIR AVE WEST,,43.676081,-79.451019,,,,,2
477,4435,LONG BRANCH LOOP,,43.592119,-79.543681,,,,,1
478,10927,QUEENS QUAY LOOP AT LOWER SPADINA AVE,,43.638552,-79.391669,,,,,1
481,11155,SUNNYSIDE LOOP,,43.639025,-79.448299,,,,,2
485,14061,WESTWOOD MALL LOOP AT MORNING STAR DR,,43.721682,-79.640754,,,,,2
486,2852,LUMSDEN AVE AT WESTLAKE AVE,,43.694552,-79.307848,,,,,2
487,11364,PROGRESS AVE AT MARKHAM RD EAST SIDE,,43.781969,-79.233279,,,,,1
489,11845,QUEEN ST EAST AT KINGSTON RD,,43.667071,-79.31283,,,,,2
490,13461,QUEEN ST EAST AT KINGSTON RD,,43.667135,-79.312892,,,,,2
491,6051,QUEEN ST WEST AT SHAW ST,,43.644514,-79.416858,,,,,1
492,8038,QUEEN'S PARK CRES WEST AT HOSKIN AVE,,43.665607,-79.393738,,,,,1
493,1459,QUEEN'S PARK CRES EAST AT ST JOSEPH ST NORTH SIDE,,43.665278,-79.391237,,,,,1
494,1461,QUEEN'S PARK CRES WEST AT QUEEN'S PARK CRES WEST,,43.666243,-79.393232,,,,,1
495,1463,QUEEN'S PARK CRES WEST AT UNIVERSITY LIBRARY,,43.662147,-79.392763,,,,,1
